,RunId,iteration,Step,height,width,density,immigrant_start,immigrant_count,income_variance,preference,Average Income,Urban Slums,Unhappy Residents,Unhappy Immigrant,Average Utility,Moran's I
0,0,0,0,20,20,0.6,100,160,0.0,0.0,30330.138571383184,0,117,0,0.34854159729159734,-0.05208333333333325
1,0,0,20,20,20,0.6,100,160,0.0,0.0,30330.138571383184,0,68,0,0.39683973433973435,0.07291666666666671
2,0,0,40,20,20,0.6,100,160,0.0,0.0,30330.138571383184,0,46,0,0.40376281126281127,-0.11458333333333327
3,0,0,60,20,20,0.6,100,160,0.0,0.0,30330.138571383184,0,42,0,0.39635646760646764,-0.11458333333333326
4,0,0,80,20,20,0.6,100,160,0.0,0.0,30330.138571383184,0,43,0,0.39851167351167355,-0.16666666666666657
5,0,0,100,20,20,0.6,100,160,0.0,0.0,30317.404656512284,0,47,1,0.4021281853232061,-0.11691771697919862
6,0,0,120,20,20,0.6,100,160,0.0,0.0,30536.563383986788,0,68,21,0.36326526815032567,-0.038421599169262736
7,0,0,140,20,20,0.6,100,160,0.0,0.0,30525.596041025085,0,87,41,0.3358873086186253,0.01926928655293872
8,0,0,160,20,20,0.6,100,160,0.0,0.0,30367.53079473145,0,105,60,0.3159595987253795,-0.04226612954792506
9,0,0,180,20,20,0.6,100,160,0.0,0.0,30687.81125906486,0,126,77,0.2988650843791031,0.031189449340583774
10,0,0,200,20,20,0.6,100,160,0.0,0.0,30635.041007616914,0,144,97,0.29086943522427394,0.023073462304775347
11,0,0,220,20,20,0.6,100,160,0.0,0.0,30510.384156695425,0,165,116,0.2927262603509141,0.0851316432711781
12,0,0,240,20,20,0.6,100,160,0.0,0.0,30416.035969507593,0,180,132,0.2935418693292709,0.0878736053424546
13,0,0,260,20,20,0.6,100,160,0.0,0.0,30470.56947291796,0,197,150,0.29229397685647684,0.04166666666666663
14,0,0,280,20,20,0.6,100,160,0.0,0.0,29231.40144913559,51,146,99,0.30116071846014536,0.04166666666666663
15,0,0,300,20,20,0.6,100,160,0.0,0.0,29231.40144913559,51,146,99,0.30116071846014536,0.04166666666666663
16,1,0,0,20,20,0.6,100,160,0.0,0.5,31658.565462683193,0,44,0,0.533171524463285,5.3198186596622086e-17
17,1,0,20,20,20,0.6,100,160,0.0,0.5,31658.565462683193,0,1,0,0.5472893401115472,0.08333333333333337
18,1,0,40,20,20,0.6,100,160,0.0,0.5,31658.565462683193,0,0,0,0.5476595540649278,0.0729166666666667
19,1,0,60,20,20,0.6,100,160,0.0,0.5,31658.565462683193,0,0,0,0.5476595540649278,0.0729166666666667
20,1,0,80,20,20,0.6,100,160,0.0,0.5,31658.565462683193,0,0,0,0.5476595540649278,0.0729166666666667
21,1,0,100,20,20,0.6,100,160,0.0,0.5,31598.42858577627,0,1,1,0.5467120380327193,0.04703350753150942
22,1,0,120,20,20,0.6,100,160,0.0,0.5,31455.849569550905,0,20,20,0.5353616345504982,0.09737199456825624
23,1,0,140,20,20,0.6,100,160,0.0,0.5,31513.581992619176,0,39,37,0.5270753095825591,-0.08432902824780716
24,1,0,160,20,20,0.6,100,160,0.0,0.5,31500.371041908824,0,47,47,0.5181633685384555,-0.11899737834899927
25,1,0,180,20,20,0.6,100,160,0.0,0.5,31314.918797193488,0,51,51,0.5197844788890732,-0.15632227014188388
26,1,0,200,20,20,0.6,100,160,0.0,0.5,31241.14349147438,0,59,59,0.5155392766493772,-0.11189665145574908
27,1,0,220,20,20,0.6,100,160,0.0,0.5,31220.629777238613,0,63,63,0.5118844470069799,-0.06851037083595228
28,1,0,240,20,20,0.6,100,160,0.0,0.5,31076.599513219247,0,59,59,0.5129465432215069,-0.08315009365583517
29,1,0,260,20,20,0.6,100,160,0.0,0.5,31118.45374116561,0,60,60,0.5114236093688327,0.031249999999999955
30,1,0,280,20,20,0.6,100,160,0.0,0.5,30602.926372719645,28,32,32,0.5163660133036383,0.031249999999999955
31,1,0,300,20,20,0.6,100,160,0.0,0.5,30602.926372719645,28,32,32,0.5163660133036383,0.031249999999999955
32,2,0,0,20,20,0.6,100,160,0.0,1.0,30686.590810649555,0,78,0,0.5300750277685584,0.010416666666666711
33,2,0,20,20,20,0.6,100,160,0.0,1.0,30686.590810649555,0,0,0,0.6388077586176403,-0.010416666666666628
34,2,0,40,20,20,0.6,100,160,0.0,1.0,30686.590810649555,0,0,0,0.6388077586176403,-0.010416666666666628
35,2,0,60,20,20,0.6,100,160,0.0,1.0,30686.590810649555,0,0,0,0.6388077586176403,-0.010416666666666628
36,2,0,80,20,20,0.6,100,160,0.0,1.0,30686.590810649555,0,0,0,0.6388077586176403,-0.010416666666666628
37,2,0,100,20,20,0.6,100,160,0.0,1.0,30725.76262275513,0,0,0,0.6388256728802009,-0.03494210472384462
38,2,0,120,20,20,0.6,100,160,0.0,1.0,30720.716162781984,0,0,0,0.637908769652343,-0.09433660835529996
39,2,0,140,20,20,0.6,100,160,0.0,1.0,30758.86382820225,0,0,0,0.6327128332358714,-0.11195524552800606
40,2,0,160,20,20,0.6,100,160,0.0,1.0,30772.53009396956,0,0,0,0.6367128617279594,-0.09342029541530784
41,2,0,180,20,20,0.6,100,160,0.0,1.0,30759.820997771352,0,0,0,0.6362959892178873,-0.04381523845240328
42,2,0,200,20,20,0.6,100,160,0.0,1.0,30784.792682591633,0,1,1,0.6348569055880137,0.0166463140304647
43,2,0,220,20,20,0.6,100,160,0.0,1.0,30688.71225502668,0,1,1,0.6337311702735576,0.08513164327117811
